Plot.Year,AUPA,BEGL,CAAQ,CACA,CACH,CAGI,CAST1,CAST2,CHCA,CLAM,CLCE,CLCR,CLEC,CLGR,CLMI,CLPY,DIUN,DRRO,EQSC,ERCH,ERVA,FLCU,HYSP,LALA,LEDE,LEGR,METR,MYAN,OXMI,PEAP,PELA,PENE,PESC,PEVE,PIMA,PLSC,POST,PTCR,RHPS,RUCH,SAPE,SPAN,SPCA,SPFU,SPGI,SPMA,SPRI,SPSQ,SPUNK1,SPUNK2,SPUNK3,SPWA,TONI,UNK1,UNK2,UNK3,UNK4,UNK5,UNKGR,UNKSH,VAUL,VAVI
PP-C1-19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,25,0,0,0,0,10,5,0,0,40,0,0,0,0,0,1,0,0,0,0,10,0,30,0,0,1,40,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,5
PP-C2-17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,30,0,60,1,0,0,0,1,0,2,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,1,5,30
PP-C2-18,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,10,0,0,25,0,20,0,0,0,0,2,0,0,0,0,0,40,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,20
PP-C2-19,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,20,0,0,25,0,40,1,0,0,0,0,0,0,0,5,0,25,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
PP-C3-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,90,0,0,0,0,40,5,0,0,5,0,0,0,0,0,0,10,0,0,0,5,0,30,0,0,0,10,0,0,0,0,0,0,1,0,0,10,0,0,0,0,10,30
PP-C3-18,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,80,0,0,0,0,30,5,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,5,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
PP-C3-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,70,0,0,0,0,20,5,0,0,5,0,0,0,0,0,0,9,0,0,0,10,0,10,0,0,0,19,0,0,0,0,0,10,1,0,0,0,0,0,0,0,10,15
PP-C4-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,30,0,0,0,0,25,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,1,0,5,30
PP-C4-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,35,0,0,0,0,10,5,0,0,1,0,0,0,0,0,0,10,0,0,0,10,0,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
PP-C4-19,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,30,0,0,0,1,10,5,0,1,5,0,0,0,0,0,0,14,1,0,0,10,0,30,0,18,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10
PP-CH1-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,40,0,0,0,0,5,0,0,0,20,0,0,0,0,0,1,0,0,0,0,5,0,20,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PP-CH1-18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,30,0,0,0,0,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PP-CH1-19,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,30,0,0,0,0,5,0,0,0,40,0,0,0,0,0,1,0,0,0,0,5,0,4,0,0,0,50,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1
PP-CH2-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,40,0,0,0,0,0,0,0,5,70
PP-CH2-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,5,0,0,0,10,0,0,80,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30
PP-CH2-19,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,25,0,0,1,0,30,0,0,0,0,1,0,0,0,0,0,1,0,1,0,15,0,1,0,0,0,1,0,0,0,0,0,80,9,0,0,0,0,0,0,0,5,15
PP-CH3-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,15,1,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,45,0,0,0,45,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,1,10
PP-CH3-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,5,0,0,0,0,0,1,0,0,0,0,15,0,35,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
PP-CH3-19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,10,1,0,0,10,0,0,0,0,0,1,1,1,0,0,10,0,45,0,1,0,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
PP-CH4-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,20,0,0,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,30,30
PP-CH4-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
PP-CH4-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,50,0,0,0,1,20,0,0,4,0,0,0,0,0,0,0,1,1,0,0,30,0,20,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,20
PP-JA1-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,60,0,0,0,10,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
PP-JA1-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,70,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
